text,review_rating
"This is by far the coolest coffee place in the city. Yeah, baby. Come for a chat.

The store has general store written all over it and definitely feels like...",5
"Coffee generally makes me too buzzy, but the decaf with hawaj is perfect positivity for me. And the owner gets pastries from the best shop in LA, I think,...",5
You can't beat the vibe/location. Service is great and the lavender latte is delicious!,5
"heaven. on. earth. best lavender lattes and nostalgia for the 60s. you can just feel it, sitting, enjoying a latte on their patio. Lily, the barista, is one...",5
"Quick Take: would return in the near future 
-fun hippy environment 
-pretty good lavender lattes 
-don't expect the most fancy food but solid bagels
-worth...",4
"This hidden gem caught my eye from the first time someone drove me along Laurel Canyon, you can tell that it oozes with history and must be very unique. 5...",5
"Pace LA - Simple, flavorful and very satisfying

I had the most delectable dinner the other night with my son at Pace on Laurel Canyon Blvd., LA. Simple,...",5
Incredible food and service! This is my favorite spot in LA and a must-go to locals and visitors alike.,5
Overall a delicious meal in a beautiful part of LA. It would fall into the hidden gem category for me as it's too small to host the large amounts of...,5
"YUM! I I was able to try this bread at a pop up event at House Roots Coffee in Granada hills. So happy I got to try it , the Fougasse was gorgeous and I...",5
"Some of the best bread I've come across in LA.
Alex has a micro bakery and churns out amazing loaves.
I've had the pleasure of seeing him twice at Thank U...",5
"So much fun. A great Halloween experience. Loved the history about haunted Hollywood, the host is a famous comedian and really entertaining, the food was...",5
"Had a fantastic time and will do it again next year.  A friend & I did this on 11-7, we left early and missed the last two spots...next year I will drink a...",5
"Each numbered review below is a from a member of our party. 

1. 
Pink taco is a euphemism for a part of the female anatomy that I appreciate greatly. It is...",5
"The food is so delicious and the atmosphere of Pink Taco is sooo fun, especially at night! We came for a birthday dinner and couldn't have picked a better...",5
"I had heard about this place from so many people, and finally decided to give it a shot. I made reservations online for 8:30PM and we arrived a bit early...",2
"A friend who (used) to work here brought me here to show me around. This place is right below the infamous Chateau Marmont, so I would imagine a lot of...",5
"Love their tofu! They made the tofu freshly every day! A must try! As for the uni ice-cream, at first I thought this may be a weird combination, then I...",3
"Hanarè, to me, is more of an intimate Auberge than an outright château which comes from the same Latin root as our word for castle. Warm summer evenings...",5
"I am giving this restaurant one star, because it never seems to be open. It is right up the street from me, so I have driven by the restaurant at lunch...",1
"Solid food, open late i believe until 2am most days, and their customer service is great! 

It's located in the corner, we walked to it from the laugh...",4
"Overpriced mediocrity!

The portion sizes are absolutely insulting. Ordered the Chips, Guac, and Salsa - That ""salsa"" (if you could call it that) was a tiny...",1
"I don't have any pictures because we just ate the food! First off, their name is ""pinnnchesss tacosss"" (iykyk )! The food is delicious and authentic. 

The...",5
The food was great! I love this place. I will say the service is a bit slow so don't arrive starving!,4
I've been to this place before and after covid. It was and still is a great spot to take a date and relax with a drink and some food. I came here last night...,5
The Den is a great spot and is just super solid all around. Two big patios with lovely fire and heat lamps allow you to sit outside comfortably without...,5
Love that venue! They now have the No Jealousy Brunch party on Sundays! It's seriously the best sunday funday ever,5
"Yikes. So, what do you come here for? 

Not the food.

Not the drinks.

Certainly not the crowd.

:/ sorry but overall super disappointing.",1
"WTF is that ??? Absolute horrible customer service. This is the worst place ever I saw in. y life.Only two server with a disgusting bad attitude.
The food...",1
"Ordered via Postmates and WOW what a disappointment. Edamame was uneatable , the sushi looked like it had been rolled by an amateur , it looked and tasted...",1
"Absolutely the worst. Fish isn't fresh, rolls are oily. Three bites in I started to feel nauseous from the taste. I wish I looked at the reviews before...",1
Do not order from here.  Food is gross.  Fish is not fresh and tastes funny but also they are clearly not practicing safe hygiene during corona.   Both my...,1
